EVENT; TIME; ARG1; ARG2
Start; 0; 2014-6-25 15:52:4; 0
Player_1_Head_Pos; 34.2913; 819; 109
Player_1_Torso_Pos; 34.2913; 829; 625
Player_1_Left_Hand_Pos; 34.2913; 304; 192
Player_1_Right_Hand_Pos; 34.2913; 1328; 192
Player_1_Left_Foot_Pos; 34.2913; 441; 1907
Player_1_Right_Foot_Pos; 34.2913; 1328; 192
Player_1_Head_Pos; 34.3326; 819; 109
Player_1_Torso_Pos; 34.3326; 829; 625
Player_1_Left_Hand_Pos; 34.3326; 304; 192
Player_1_Right_Hand_Pos; 34.3326; 1328; 192
Player_1_Left_Foot_Pos; 34.3326; 451; 1911
Player_1_Right_Foot_Pos; 34.3326; 1328; 192
Player_1_Head_Pos; 34.3661; 819; 109
Player_1_Torso_Pos; 34.3661; 824; 625
Player_1_Left_Hand_Pos; 34.3661; 299; 192
Player_1_Right_Hand_Pos; 34.3661; 1333; 188
Player_1_Left_Foot_Pos; 34.3661; 462; 1916
Player_1_Right_Foot_Pos; 34.3661; 1333; 188
Player_1_Head_Pos; 34.3745; 813; 109
Player_1_Torso_Pos; 34.3745; 824; 630
Player_1_Left_Hand_Pos; 34.3745; 288; 188
Player_1_Right_Hand_Pos; 34.3745; 1338; 183
Player_1_Left_Foot_Pos; 34.3745; 252; 1894
Player_1_Right_Foot_Pos; 34.3745; 1338; 183
Player_1_Head_Pos; 34.4287; 808; 109
Player_1_Torso_Pos; 34.4287; 824; 634
Player_1_Left_Hand_Pos; 34.4287; 278; 192
Player_1_Right_Hand_Pos; 34.4287; 1338; 179
Player_1_Left_Foot_Pos; 34.4287; 57; 1658
Player_1_Right_Foot_Pos; 34.4287; 1338; 179
Player_1_Head_Pos; 34.4951; 792; 109
Player_1_Torso_Pos; 34.4951; 819; 643
Player_1_Left_Hand_Pos; 34.4951; 257; 201
Player_1_Right_Hand_Pos; 34.4951; 1349; 170
Player_1_Left_Foot_Pos; 34.4951; 462; 1968
Player_1_Right_Foot_Pos; 34.4951; 1349; 170
Player_1_Head_Pos; 34.5301; 787; 109
Player_1_Torso_Pos; 34.5301; 813; 647
Player_1_Left_Hand_Pos; 34.5301; 246; 205
Player_1_Right_Hand_Pos; 34.5301; 1354; 170
Player_1_Left_Foot_Pos; 34.5301; 472; 1973
Player_1_Right_Foot_Pos; 34.5301; 1354; 170
Player_1_Head_Pos; 34.5774; 782; 109
Player_1_Torso_Pos; 34.5774; 808; 651
Player_1_Left_Hand_Pos; 34.5774; 231; 214
Player_1_Right_Hand_Pos; 34.5774; 1354; 166
Player_1_Left_Foot_Pos; 34.5774; 115; 1798
Player_1_Right_Foot_Pos; 34.5774; 1354; 166
Player_1_Head_Pos; 34.5957; 777; 105
Player_1_Torso_Pos; 34.5957; 808; 651
Player_1_Left_Hand_Pos; 34.5957; 220; 227
Player_1_Right_Hand_Pos; 34.5957; 1354; 166
Player_1_Left_Foot_Pos; 34.5957; 47; 1588
Player_1_Right_Foot_Pos; 34.5957; 1354; 166
Player_1_Head_Pos; 34.6398; 766; 109
Player_1_Torso_Pos; 34.6398; 803; 651
Player_1_Left_Hand_Pos; 34.6398; 204; 240
Player_1_Right_Hand_Pos; 34.6398; 1354; 166
Player_1_Left_Foot_Pos; 34.6398; 236; 1898
Player_1_Right_Foot_Pos; 34.6398; 1354; 166
Player_1_Head_Pos; 34.6603; 766; 109
Player_1_Torso_Pos; 34.6603; 798; 651
Player_1_Left_Hand_Pos; 34.6603; 189; 258
Player_1_Right_Hand_Pos; 34.6603; 1354; 166
Player_1_Left_Foot_Pos; 34.6603; 236; 1885
Player_1_Right_Foot_Pos; 34.6603; 1354; 166
Player_1_Head_Pos; 34.7119; 756; 109
Player_1_Torso_Pos; 34.7119; 798; 656
Player_1_Left_Hand_Pos; 34.7119; 173; 275
Player_1_Right_Hand_Pos; 34.7119; 1359; 170
Player_1_Left_Foot_Pos; 34.7119; 231; 1876
Player_1_Right_Foot_Pos; 34.7119; 1359; 170
Player_1_Head_Pos; 34.7268; 750; 113
