EVENT; TIME; ARG1; ARG2
Player_1_Left_Foot_Pos; 15.8565; -199; 1111
Player_1_Right_Foot_Pos; 15.8565; 609; 853
Player_1_Head_Pos; 15.9128; 913; 713
Player_1_Torso_Pos; 15.9128; 882; 931
Player_1_Left_Hand_Pos; 15.9128; 588; 678
Player_1_Right_Hand_Pos; 15.9128; 619; 848
Player_1_Left_Foot_Pos; 15.9128; -141; 1098
Player_1_Right_Foot_Pos; 15.9128; 619; 848
Player_1_Head_Pos; 15.925; 913; 713
Player_1_Torso_Pos; 15.925; 892; 931
Player_1_Left_Hand_Pos; 15.925; 593; 682
Player_1_Right_Hand_Pos; 15.925; 603; 848
Player_1_Left_Foot_Pos; 15.925; -136; 1106
Player_1_Right_Foot_Pos; 15.925; 603; 848
Player_1_Head_Pos; 15.9719; 913; 717
Player_1_Torso_Pos; 15.9719; 892; 927
Player_1_Left_Hand_Pos; 15.9719; 593; 686
Player_1_Right_Hand_Pos; 15.9719; 603; 848
Player_1_Left_Foot_Pos; 15.9719; -131; 931
Player_1_Right_Foot_Pos; 15.9719; 603; 848
Player_1_Head_Pos; 15.9882; 918; 721
Player_1_Torso_Pos; 15.9882; 861; 940
Player_1_Left_Hand_Pos; 15.9882; 593; 686
Player_1_Right_Hand_Pos; 15.9882; 609; 848
Player_1_Left_Foot_Pos; 15.9882; -273; 914
Player_1_Right_Foot_Pos; 15.9882; 609; 848
Player_1_Head_Pos; 16.0358; 918; 730
Player_1_Torso_Pos; 16.0358; 855; 945
Player_1_Left_Hand_Pos; 16.0358; 598; 691
Player_1_Right_Hand_Pos; 16.0358; 609; 848
Player_1_Left_Foot_Pos; 16.0358; -309; 1058
Player_1_Right_Foot_Pos; 16.0358; 609; 848
Player_1_Head_Pos; 16.0526; 908; 726
Player_1_Torso_Pos; 16.0526; 829; 958
Player_1_Left_Hand_Pos; 16.0526; 603; 691
Player_1_Right_Hand_Pos; 16.0526; 582; 770
Player_1_Left_Foot_Pos; 16.0526; -330; 1089
Player_1_Right_Foot_Pos; 16.0526; 582; 770
Player_1_Head_Pos; 16.1028; 913; 721
Player_1_Torso_Pos; 16.1028; 803; 975
Player_1_Left_Hand_Pos; 16.1028; 819; 735
Player_1_Right_Hand_Pos; 16.1028; 493; 665
Player_1_Left_Foot_Pos; 16.1028; -325; 1102
Player_1_Right_Foot_Pos; 16.1028; 493; 665
Player_1_Head_Pos; 16.1188; 913; 713
Player_1_Torso_Pos; 16.1188; 824; 966
Player_1_Left_Hand_Pos; 16.1188; 824; 752
Player_1_Right_Hand_Pos; 16.1188; 504; 665
Player_1_Left_Foot_Pos; 16.1188; -267; 1102
Player_1_Right_Foot_Pos; 16.1188; 504; 665
Player_1_Head_Pos; 16.1693; 897; 647
Player_1_Torso_Pos; 16.1693; 866; 962
Player_1_Left_Hand_Pos; 16.1693; 819; 726
Player_1_Right_Hand_Pos; 16.1693; 441; 573
Player_1_Left_Foot_Pos; 16.1693; -173; 1273
Player_1_Right_Foot_Pos; 16.1693; 441; 573
Player_1_Head_Pos; 16.1864; 887; 651
Player_1_Torso_Pos; 16.1864; 866; 962
Player_1_Left_Hand_Pos; 16.1864; 918; 678
Player_1_Right_Hand_Pos; 16.1864; 399; 546
Player_1_Left_Foot_Pos; 16.1864; -141; 1290
Player_1_Right_Foot_Pos; 16.1864; 399; 546
Player_1_Head_Pos; 16.2368; 808; 568
Player_1_Torso_Pos; 16.2368; 782; 910
Player_1_Left_Hand_Pos; 16.2368; 808; 638
Player_1_Right_Hand_Pos; 16.2368; 351; 525
Player_1_Left_Foot_Pos; 16.2368; -105; 1553
Player_1_Right_Foot_Pos; 16.2368; 351; 525
Player_1_Head_Pos; 16.2542; 808; 564
Player_1_Torso_Pos; 16.2542; 782; 931
Player_1_Left_Hand_Pos; 16.2542; 729; 634
Player_1_Right_Hand_Pos; 16.2542; 362; 529
Player_1_Left_Foot_Pos; 16.2542; -162; 1233
Player_1_Right_Foot_Pos; 16.2542; 362; 529
Player_1_Head_Pos; 16.3054; 808; 573
Player_1_Torso_Pos; 16.3054; 782; 923
Player_1_Left_Hand_Pos; 16.3054; 782; 647
Player_1_Right_Hand_Pos; 16.3054; 383; 573
Player_1_Left_Foot_Pos; 16.3054; -120; 1229
Player_1_Right_Foot_Pos; 16.3054; 383; 573
Player_1_Head_Pos; 16.3346; 803; 595
Player_1_Torso_Pos; 16.3346; 777; 910
Player_1_Left_Hand_Pos; 16.3346; 761; 656
Player_1_Right_Hand_Pos; 16.3346; 808; 708
Player_1_Left_Foot_Pos; 16.3346; -36; 1163
Player_1_Right_Foot_Pos; 16.3346; 808; 708
Player_1_Head_Pos; 16.3541; 798; 595
Player_1_Torso_Pos; 16.3541; 798; 918
Player_1_Left_Hand_Pos; 16.3541; 766; 656
Player_1_Right_Hand_Pos; 16.3541; 777; 700
Player_1_Left_Foot_Pos; 16.3541; -94; 1325
Player_1_Right_Foot_Pos; 16.3541; 777; 700
Player_1_Head_Pos; 16.4031; 740; 608
Player_1_Torso_Pos; 16.4031; 777; 888
Player_1_Left_Hand_Pos; 16.4031; 750; 660
Player_1_Right_Hand_Pos; 16.4031; 1144; 1032
Player_1_Left_Foot_Pos; 16.4031; 0; 1181
Player_1_Right_Foot_Pos; 16.4031; 1144; 1032
Player_1_Head_Pos; 16.4218; 777; 371
Player_1_Torso_Pos; 16.4218; 766; 857
Player_1_Left_Hand_Pos; 16.4218; 724; 647
Player_1_Right_Hand_Pos; 16.4218; 1134; 997
Player_1_Left_Foot_Pos; 16.4218; 661; 927
Player_1_Right_Foot_Pos; 16.4218; 1134; 997
Player_1_Head_Pos; 16.4541; 698; 310
Player_1_Torso_Pos; 16.4541; 756; 826
Player_1_Left_Hand_Pos; 16.4541; 698; 735
Player_1_Right_Hand_Pos; 16.4541; 1128; 1001
Player_1_Left_Foot_Pos; 16.4541; 567; 1019
Player_1_Right_Foot_Pos; 16.4541; 1128; 1001
Player_1_Head_Pos; 16.4834; 703; 293
Player_1_Torso_Pos; 16.4834; 756; 818
Player_1_Left_Hand_Pos; 16.4834; 677; 686
Player_1_Right_Hand_Pos; 16.4834; 1128; 1023
Player_1_Left_Foot_Pos; 16.4834; 561; 993
Player_1_Right_Foot_Pos; 16.4834; 1128; 1023
Player_1_Head_Pos; 16.5439; 719; 271
Player_1_Torso_Pos; 16.5439; 761; 805
Player_1_Left_Hand_Pos; 16.5439; 488; 988
Player_1_Right_Hand_Pos; 16.5439; 1186; 1023
Player_1_Left_Foot_Pos; 16.5439; 199; 1194
Player_1_Right_Foot_Pos; 16.5439; 1186; 1023
Player_1_Head_Pos; 16.5559; 729; 262
Player_1_Torso_Pos; 16.5559; 766; 796
Player_1_Left_Hand_Pos; 16.5559; 483; 988
Player_1_Right_Hand_Pos; 16.5559; 1123; 971
Player_1_Left_Foot_Pos; 16.5559; 178; 1229
Player_1_Right_Foot_Pos; 16.5559; 1123; 971
Player_1_Head_Pos; 16.6039; 740; 258
Player_1_Torso_Pos; 16.6039; 771; 791
Player_1_Left_Hand_Pos; 16.6039; 462; 984
Player_1_Right_Hand_Pos; 16.6039; 1128; 936
Player_1_Left_Foot_Pos; 16.6039; 157; 1264
Player_1_Right_Foot_Pos; 16.6039; 1128; 936
Player_1_Head_Pos; 16.6354; 745; 249
Player_1_Torso_Pos; 16.6354; 777; 787
Player_1_Left_Hand_Pos; 16.6354; 430; 984
Player_1_Right_Hand_Pos; 16.6354; 1139; 883
Player_1_Left_Foot_Pos; 16.6354; 136; 1281
Player_1_Right_Foot_Pos; 16.6354; 1139; 883
Player_1_Head_Pos; 16.6538; 750; 249
Player_1_Torso_Pos; 16.6538; 782; 787
Player_1_Left_Hand_Pos; 16.6538; 393; 980
Player_1_Right_Hand_Pos; 16.6538; 1181; 844
Player_1_Left_Foot_Pos; 16.6538; 367; 1693
Player_1_Right_Foot_Pos; 16.6538; 1181; 844
Player_1_Head_Pos; 16.6757; 756; 245
Player_1_Torso_Pos; 16.6757; 787; 783
Player_1_Left_Hand_Pos; 16.6757; 404; 958
Player_1_Right_Hand_Pos; 16.6757; 1239; 787
Player_1_Left_Foot_Pos; 16.6757; 257; 1540
Player_1_Right_Foot_Pos; 16.6757; 1239; 787
Player_1_Head_Pos; 16.7174; 761; 249
Player_1_Torso_Pos; 16.7174; 792; 783
Player_1_Left_Hand_Pos; 16.7174; 388; 905
Player_1_Right_Hand_Pos; 16.7174; 1254; 765
Player_1_Left_Foot_Pos; 16.7174; 267; 1645
Player_1_Right_Foot_Pos; 16.7174; 1254; 765
Player_1_Head_Pos; 16.7716; 766; 249
Player_1_Torso_Pos; 16.7716; 798; 783
Player_1_Left_Hand_Pos; 16.7716; 367; 923
Player_1_Right_Hand_Pos; 16.7716; 1296; 691
Player_1_Left_Foot_Pos; 16.7716; 231; 1579
Player_1_Right_Foot_Pos; 16.7716; 1296; 691
Player_1_Head_Pos; 16.8033; 771; 249
Player_1_Torso_Pos; 16.8033; 803; 778
Player_1_Left_Hand_Pos; 16.8033; 357; 914
Player_1_Right_Hand_Pos; 16.8033; 1302; 669
Player_1_Left_Foot_Pos; 16.8033; 220; 1583
Player_1_Right_Foot_Pos; 16.8033; 1302; 669
Player_1_Head_Pos; 16.8217; 777; 253
Player_1_Torso_Pos; 16.8217; 803; 778
Player_1_Left_Hand_Pos; 16.8217; 336; 883
Player_1_Right_Hand_Pos; 16.8217; 1323; 612
Player_1_Left_Foot_Pos; 16.8217; 199; 1596
Player_1_Right_Foot_Pos; 16.8217; 1323; 612
Player_1_Head_Pos; 16.879; 782; 253
Player_1_Torso_Pos; 16.879; 803; 774
Player_1_Left_Hand_Pos; 16.879; 341; 778
Player_1_Right_Hand_Pos; 16.879; 1302; 573
Player_1_Left_Foot_Pos; 16.879; 257; 1701
Player_1_Right_Foot_Pos; 16.879; 1302; 573
Player_1_Head_Pos; 16.9201; 782; 253
Player_1_Torso_Pos; 16.9201; 808; 774
Player_1_Left_Hand_Pos; 16.9201; 320; 669
Player_1_Right_Hand_Pos; 16.9201; 1286; 551
Player_1_Left_Foot_Pos; 16.9201; 267; 1728
Player_1_Right_Foot_Pos; 16.9201; 1286; 551
Player_1_Head_Pos; 16.9786; 782; 258
Player_1_Torso_Pos; 16.9786; 808; 774
Player_1_Left_Hand_Pos; 16.9786; 467; 573
Player_1_Right_Hand_Pos; 16.9786; 1254; 533
Player_1_Left_Foot_Pos; 16.9786; 267; 1750
Player_1_Right_Foot_Pos; 16.9786; 1254; 533
Player_1_Head_Pos; 17.0202; 787; 258
