EVENT; TIME; ARG1; ARG2
Start; 0; 2014-6-25 15:49:2; 0
Player_1_Head_Pos; 21.8665; 834; 166
Player_1_Torso_Pos; 21.8665; 829; 673
Player_1_Left_Hand_Pos; 21.8665; 346; 595
Player_1_Right_Hand_Pos; 21.8665; 1302; 608
Player_1_Left_Foot_Pos; 21.8665; 666; 2025
Player_1_Right_Foot_Pos; 21.8665; 1302; 608
Player_1_Head_Pos; 21.8841; 840; 166
Player_1_Torso_Pos; 21.8841; 829; 669
Player_1_Left_Hand_Pos; 21.8841; 357; 568
Player_1_Right_Hand_Pos; 21.8841; 1302; 608
Player_1_Left_Foot_Pos; 21.8841; 761; 1995
Player_1_Right_Foot_Pos; 21.8841; 1302; 608
Player_1_Head_Pos; 21.9329; 840; 157
Player_1_Torso_Pos; 21.9329; 829; 660
Player_1_Left_Hand_Pos; 21.9329; 399; 516
Player_1_Right_Hand_Pos; 21.9329; 1286; 590
Player_1_Left_Foot_Pos; 21.9329; 803; 1929
Player_1_Right_Foot_Pos; 21.9329; 1286; 590
Player_1_Head_Pos; 21.9524; 840; 144
Player_1_Torso_Pos; 21.9524; 829; 643
Player_1_Left_Hand_Pos; 21.9524; 430; 468
Player_1_Right_Hand_Pos; 21.9524; 1265; 546
Player_1_Left_Foot_Pos; 21.9524; 782; 1697
Player_1_Right_Foot_Pos; 21.9524; 1265; 546
Player_1_Head_Pos; 22.0011; 840; 131
Player_1_Torso_Pos; 22.0011; 824; 634
Player_1_Left_Hand_Pos; 22.0011; 472; 428
Player_1_Right_Hand_Pos; 22.0011; 1249; 520
Player_1_Left_Foot_Pos; 22.0011; 777; 1693
Player_1_Right_Foot_Pos; 22.0011; 1249; 520
Player_1_Head_Pos; 22.0218; 834; 131
Player_1_Torso_Pos; 22.0218; 824; 630
Player_1_Left_Hand_Pos; 22.0218; 514; 411
Player_1_Right_Hand_Pos; 22.0218; 1265; 468
Player_1_Left_Foot_Pos; 22.0218; 756; 1701
Player_1_Right_Foot_Pos; 22.0218; 1265; 468
Player_1_Head_Pos; 22.0498; 834; 140
Player_1_Torso_Pos; 22.0498; 819; 638
Player_1_Left_Hand_Pos; 22.0498; 551; 402
Player_1_Right_Hand_Pos; 22.0498; 1207; 494
Player_1_Left_Foot_Pos; 22.0498; 672; 1715
Player_1_Right_Foot_Pos; 22.0498; 1207; 494
Player_1_Head_Pos; 22.0893; 834; 161
