EVENT; TIME; ARG1; ARG2
Start; 0; 2014-7-30 9:58:26; 0
Player_1_Head_Pos; 25.2093; 1312; 376
Player_1_Torso_Pos; 25.2093; 1197; 595
Player_1_Left_Hand_Pos; 25.2093; 918; 625
Player_1_Right_Hand_Pos; 25.2093; 1386; 721
Player_1_Left_Foot_Pos; 25.2093; 1160; 1045
Player_1_Right_Foot_Pos; 25.2093; 1386; 721
Player_1_Head_Pos; 25.2609; 1312; 380
Player_1_Torso_Pos; 25.2609; 1202; 608
Player_1_Left_Hand_Pos; 25.2609; 903; 643
Player_1_Right_Hand_Pos; 25.2609; 1386; 704
Player_1_Left_Foot_Pos; 25.2609; 1155; 1028
Player_1_Right_Foot_Pos; 25.2609; 1386; 704
Player_1_Head_Pos; 25.2778; 1312; 380
Player_1_Torso_Pos; 25.2778; 1197; 612
Player_1_Left_Hand_Pos; 25.2778; 945; 621
Player_1_Right_Hand_Pos; 25.2778; 1386; 704
Player_1_Left_Foot_Pos; 25.2778; 1155; 1023
Player_1_Right_Foot_Pos; 25.2778; 1386; 704
Player_1_Head_Pos; 25.3262; 1307; 376
Player_1_Torso_Pos; 25.3262; 1197; 630
Player_1_Left_Hand_Pos; 25.3262; 913; 621
Player_1_Right_Hand_Pos; 25.3262; 1386; 713
Player_1_Left_Foot_Pos; 25.3262; 1155; 1023
Player_1_Right_Foot_Pos; 25.3262; 1386; 713
Player_1_Head_Pos; 25.3415; 1307; 376
Player_1_Torso_Pos; 25.3415; 1191; 621
Player_1_Left_Hand_Pos; 25.3415; 913; 621
Player_1_Right_Hand_Pos; 25.3415; 1386; 708
Player_1_Left_Foot_Pos; 25.3415; 1155; 1023
Player_1_Right_Foot_Pos; 25.3415; 1386; 708
Player_1_Head_Pos; 25.3898; 1312; 371
Player_1_Torso_Pos; 25.3898; 1197; 634
Player_1_Left_Hand_Pos; 25.3898; 913; 621
Player_1_Right_Hand_Pos; 25.3898; 1396; 726
Player_1_Left_Foot_Pos; 25.3898; 1160; 1023
Player_1_Right_Foot_Pos; 25.3898; 1396; 726
Player_1_Head_Pos; 25.4089; 1307; 376
Player_1_Torso_Pos; 25.4089; 1197; 616
Player_1_Left_Hand_Pos; 25.4089; 918; 621
Player_1_Right_Hand_Pos; 25.4089; 1391; 726
Player_1_Left_Foot_Pos; 25.4089; 1155; 1023
Player_1_Right_Foot_Pos; 25.4089; 1391; 726
Player_1_Head_Pos; 25.4379; 1307; 376
Player_1_Torso_Pos; 25.4379; 1202; 634
Player_1_Left_Hand_Pos; 25.4379; 913; 621
Player_1_Right_Hand_Pos; 25.4379; 1396; 730
Player_1_Left_Foot_Pos; 25.4379; 1155; 1023
Player_1_Right_Foot_Pos; 25.4379; 1396; 730
Player_1_Head_Pos; 25.4739; 1312; 376
Player_1_Torso_Pos; 25.4739; 1197; 643
Player_1_Left_Hand_Pos; 25.4739; 992; 756
Player_1_Right_Hand_Pos; 25.4739; 1396; 726
Player_1_Left_Foot_Pos; 25.4739; 1160; 1023
